nombre,camara,legislatura,sigla_partido,tipo_registro,fuente_url,fuente_tipo,metodo,nivel_confianza
"Saravia, Jorge",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Segovia, Albérico",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-05-10&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Semproni, Víctor",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2008-06-17&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Singlet Echenique, Manuel María",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-11-08&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Soto Durán, Enrique",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-07-05&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Tajam, Héctor",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-05-10&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Topolansky, Lucía",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-03-01&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Trobo, Jaime Mario",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2008-04-22&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Vaillant, Víctor",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Vidalín, Carmelo",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/camarasycomisiones/legisladores/5193,manual,biografia,alto
